model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C
gemma_2b,1,gemma_2b-1-0,0.338,0.597,0.943,0.0,0.003,0.325,0.352,0.327,0.339,0.977,0.007,0.016
gemma_2b,2,gemma_2b-2-0,0.311,0.584,0.961,0.0,0.009,0.34,0.301,0.325,0.285,0.973,0.002,0.025
gemma_2b,3,gemma_2b-3-0,0.329,0.595,0.974,0.0,0.009,0.289,0.357,0.32,0.333,0.982,0.007,0.012
gemma_2b,4,gemma_2b-4-0,0.324,0.595,0.976,0.0,0.006,0.281,0.32,0.341,0.364,0.978,0.007,0.016
gemma_2b,5,gemma_2b-5-0,0.322,0.595,0.991,0.0,0.009,0.294,0.337,0.33,0.32,0.984,0.003,0.014
gemma_2b,5,gemma_2b-5-1,0.323,0.596,0.997,0.0,0.006,0.315,0.337,0.303,0.331,0.99,0.002,0.008
gemma_2b,5,gemma_2b-5-2,0.318,0.597,0.985,0.0,0.003,0.32,0.302,0.325,0.333,0.99,0.001,0.009
gemma_2b,5,gemma_2b-5-3,0.32,0.594,0.985,0.0,0.009,0.314,0.353,0.337,0.266,0.988,0.002,0.01
gemma_2b,5,gemma_2b-5-4,0.317,0.594,0.979,0.0,0.006,0.314,0.324,0.327,0.302,0.988,0.002,0.01
