model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C
llama2_7b,1,llama2_7b-1-0,0.389,0.671,0.337,0.398,0.438,0.173,0.029,0.564,0.996,0.3,0.324,0.376
llama2_7b,2,llama2_7b-2-0,0.365,0.657,0.302,0.333,0.456,0.16,0.04,0.525,0.986,0.291,0.316,0.393
llama2_7b,3,llama2_7b-3-0,0.389,0.672,0.357,0.363,0.446,0.164,0.043,0.534,0.967,0.309,0.301,0.39
llama2_7b,4,llama2_7b-4-0,0.356,0.654,0.365,0.303,0.406,0.142,0.039,0.525,0.935,0.335,0.291,0.374
llama2_7b,5,llama2_7b-5-0,0.386,0.667,0.373,0.358,0.43,0.202,0.026,0.593,0.933,0.317,0.31,0.372
llama2_7b,5,llama2_7b-5-1,0.379,0.662,0.337,0.353,0.451,0.109,0.055,0.592,0.919,0.302,0.317,0.381
llama2_7b,5,llama2_7b-5-2,0.357,0.655,0.2,0.4,0.5,0.0,0.0,0.6,1.0,0.357,0.357,0.286
