model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C
mistral_7b,1,mistral_7b-1-0,0.436,0.671,0.914,0.273,0.075,0.362,0.425,0.33,0.645,0.812,0.163,0.025
mistral_7b,2,mistral_7b-2-0,0.322,0.597,0.764,0.197,0.029,0.294,0.269,0.255,0.502,0.762,0.216,0.021
mistral_7b,3,mistral_7b-3-0,0.306,0.587,0.75,0.15,0.02,0.196,0.289,0.254,0.5,0.774,0.206,0.02
mistral_7b,4,mistral_7b-4-0,0.282,0.575,0.682,0.145,0.018,0.196,0.205,0.23,0.558,0.758,0.206,0.037
mistral_7b,5,mistral_7b-5-0,0.233,0.543,0.602,0.102,0.006,0.176,0.159,0.172,0.467,0.76,0.195,0.045
mistral_7b,5,mistral_7b-5-1,0.242,0.546,0.587,0.132,0.018,0.133,0.185,0.206,0.47,0.731,0.214,0.054
mistral_7b,5,mistral_7b-5-2,0.242,0.544,0.557,0.162,0.012,0.162,0.114,0.223,0.545,0.71,0.235,0.055
mistral_7b,5,mistral_7b-5-3,0.265,0.56,0.614,0.178,0.009,0.252,0.163,0.22,0.461,0.722,0.243,0.035
mistral_7b,5,mistral_7b-5-4,0.32,0.588,0.798,0.132,0.049,0.276,0.254,0.292,0.498,0.78,0.182,0.038
