model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc
baichuan_13b,2,baichuan_13b-2-0,0.354,0.626,0.858,0.177,0.054,0.336,0.363,0.4,0.317
baichuan_13b,3,baichuan_13b-3-0,0.344,0.621,0.823,0.161,0.049,0.329,0.354,0.347,0.342
baichuan_13b,4,baichuan_13b-4-0,0.309,0.602,0.753,0.126,0.052,0.262,0.3,0.3,0.392
baichuan_13b,5,baichuan_13b-5-0,0.314,0.603,0.705,0.164,0.088,0.265,0.334,0.362,0.289
baichuan_13b,5,baichuan_13b-5-1,0.313,0.603,0.696,0.17,0.088,0.258,0.343,0.33,0.314
baichuan_13b,5,baichuan_13b-5-2,0.313,0.599,0.708,0.154,0.095,0.27,0.351,0.35,0.279
baichuan_13b,5,baichuan_13b-5-3,0.317,0.602,0.711,0.162,0.095,0.252,0.367,0.351,0.282
baichuan_13b,5,baichuan_13b-5-4,0.301,0.597,0.654,0.162,0.101,0.28,0.329,0.302,0.28
