model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C
gemma_2b,1,gemma_2b-1-0,0.133,0.48,0.16,0.073,0.161,0.45,0.073,0.0,0.0,0.45,0.252,0.298
gemma_2b,2,gemma_2b-2-0,0.117,0.479,0.221,0.051,0.086,0.37,0.065,0.0,0.041,0.469,0.286,0.244
gemma_2b,3,gemma_2b-3-0,0.145,0.494,0.22,0.098,0.117,0.427,0.095,0.0,0.087,0.427,0.324,0.249
gemma_2b,4,gemma_2b-4-0,0.145,0.5,0.241,0.098,0.098,0.408,0.071,0.0,0.092,0.459,0.31,0.231
gemma_2b,5,gemma_2b-5-0,0.156,0.511,0.286,0.1,0.088,0.399,0.153,0.0,0.058,0.485,0.29,0.225
gemma_2b,5,gemma_2b-5-1,0.166,0.517,0.31,0.102,0.091,0.44,0.128,0.005,0.081,0.504,0.274,0.222
gemma_2b,5,gemma_2b-5-2,0.183,0.528,0.325,0.108,0.125,0.45,0.132,0.0,0.095,0.5,0.267,0.233
gemma_2b,5,gemma_2b-5-3,0.186,0.527,0.283,0.156,0.122,0.521,0.152,0.0,0.058,0.471,0.314,0.214
gemma_2b,5,gemma_2b-5-4,0.183,0.528,0.262,0.164,0.125,0.456,0.157,0.0,0.071,0.471,0.313,0.215
