model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C
llama2_7b,1,llama2_7b-1-0,0.459,0.697,0.799,0.284,0.256,0.655,0.595,0.45,0.052,0.698,0.17,0.132
llama2_7b,2,llama2_7b-2-0,0.456,0.693,0.837,0.313,0.238,0.639,0.602,0.415,0.05,0.687,0.177,0.137
llama2_7b,3,llama2_7b-3-0,0.463,0.695,0.748,0.339,0.3,0.667,0.692,0.379,0.017,0.617,0.194,0.189
llama2_7b,4,llama2_7b-4-0,0.483,0.708,0.75,0.344,0.36,0.658,0.706,0.387,0.023,0.585,0.209,0.207
llama2_7b,5,llama2_7b-5-0,0.48,0.706,0.747,0.348,0.36,0.689,0.729,0.344,0.009,0.567,0.213,0.219
llama2_7b,5,llama2_7b-5-1,0.446,0.685,0.702,0.329,0.32,0.69,0.699,0.252,0.017,0.571,0.215,0.213
llama2_7b,5,llama2_7b-5-2,0.473,0.703,0.747,0.337,0.351,0.716,0.652,0.354,0.018,0.591,0.197,0.212
llama2_7b,5,llama2_7b-5-3,0.469,0.699,0.765,0.318,0.341,0.649,0.714,0.395,0.004,0.61,0.196,0.194
llama2_7b,5,llama2_7b-5-4,0.47,0.704,0.744,0.372,0.305,0.686,0.659,0.386,0.009,0.589,0.219,0.192
