model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C
llama2_7b,1,llama2_7b-1-0,0.391,0.655,0.777,0.168,0.185,0.466,0.513,0.517,0.013,0.777,0.114,0.109
llama2_7b,2,llama2_7b-2-0,0.377,0.647,0.819,0.177,0.16,0.441,0.495,0.475,0.023,0.792,0.097,0.111
llama2_7b,3,llama2_7b-3-0,0.396,0.654,0.768,0.22,0.197,0.462,0.576,0.461,0.013,0.751,0.114,0.135
llama2_7b,4,llama2_7b-4-0,0.429,0.681,0.798,0.222,0.265,0.451,0.585,0.493,0.05,0.698,0.123,0.179
