model_name,turn,key,acc_score,map_score,acc_A,acc_B,acc_C,hotel_acc,train_acc,attraction_acc,restaurant_acc,A,B,C
llama2_13b,1,llama2_13b-1-0,0.409,0.66,0.511,0.37,0.336,0.361,0.041,0.531,0.896,0.43,0.295,0.275
llama2_13b,2,llama2_13b-2-0,0.373,0.636,0.486,0.353,0.287,0.378,0.032,0.52,0.81,0.423,0.328,0.249
llama2_13b,3,llama2_13b-3-0,0.375,0.644,0.528,0.354,0.246,0.333,0.049,0.548,0.729,0.462,0.308,0.23
llama2_13b,4,llama2_13b-4-0,0.363,0.638,0.547,0.339,0.197,0.335,0.053,0.571,0.668,0.493,0.327,0.18
llama2_13b,5,llama2_13b-5-0,0.375,0.64,0.563,0.337,0.229,0.345,0.061,0.629,0.644,0.476,0.325,0.199
llama2_13b,5,llama2_13b-5-1,0.364,0.645,0.426,0.41,0.246,0.331,0.036,0.548,0.773,0.378,0.387,0.235
